Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.34    0.08 6165804/148617408     PQCLEAN_FALCON512_CLEAN_iFFT [16]
                0.35    0.09 6358309/148617408     fpr_sub [27]
                0.38    0.09 6912000/148617408     PQCLEAN_FALCON512_CLEAN_poly_LDL_fft [14]
                0.39    0.10 7170974/148617408     PQCLEAN_FALCON512_CLEAN_poly_add [20]
                0.67    0.17 12288000/148617408     PQCLEAN_FALCON512_CLEAN_poly_split_fft [13]
                1.51    0.38 27686046/148617408     PQCLEAN_FALCON512_CLEAN_FFT [10]
                3.84    0.96 70463848/148617408     fpr_sub [9]
[7]     63.5    8.10    2.02 148617408         PQCLEAN_FALCON512_CLEAN_fpr_add [7]
                1.27    0.00 148617408/297469268     FPR [12]
                0.43    0.00 148617408/148617408     fpr_ulsh [28]
                0.32    0.00 148617408/152173614     fpr_ursh [31]
-----------------------------------------------
                             1022000             ffSampling_fft_dyntree [8]
                0.02    9.18    1000/1000        do_sign_dyn [6]
[8]     57.7    0.02    9.18    1000+1022000 ffSampling_fft_dyntree [8]
                0.06    2.18 2044000/2044000     PQCLEAN_FALCON512_CLEAN_poly_split_fft [13]
                0.06    2.15  511000/511000      PQCLEAN_FALCON512_CLEAN_poly_LDL_fft [14]
                0.01    1.68 1024000/1024000     PQCLEAN_FALCON512_CLEAN_sampler [15]
                0.02    1.06 1022000/1022000     PQCLEAN_FALCON512_CLEAN_poly_merge_fft [17]
                0.02    0.92  511000/517576      PQCLEAN_FALCON512_CLEAN_poly_mul_fft [18]
                0.00    0.48  511000/516287      PQCLEAN_FALCON512_CLEAN_poly_add [20]
                0.01    0.32  511000/511002      PQCLEAN_FALCON512_CLEAN_poly_sub [30]
                0.15    0.00  512000/512000      PQCLEAN_FALCON512_CLEAN_fpr_sqrt [40]
                0.00    0.04 1024000/11990309     fpr_of [22]
                0.01    0.00  512000/133996352     PQCLEAN_FALCON512_CLEAN_fpr_mul [11]
                             1022000             ffSampling_fft_dyntree [8]
-----------------------------------------------
                0.00    0.00     256/70463848     PQCLEAN_FALCON512_CLEAN_poly_add_muladj_fft [84]
                0.00    0.03  512000/70463848     PQCLEAN_FALCON512_CLEAN_poly_muladj_fft [43]
                0.01    0.26 3843230/70463848     PQCLEAN_FALCON512_CLEAN_poly_mul_fft [18]
                0.01    0.31 4608512/70463848     PQCLEAN_FALCON512_CLEAN_poly_sub [30]
                0.01    0.42 6144000/70463848     PQCLEAN_FALCON512_CLEAN_poly_merge_fft [17]
                0.01    0.42 6165804/70463848     PQCLEAN_FALCON512_CLEAN_iFFT [16]
                0.02    0.63 9216000/70463848     PQCLEAN_FALCON512_CLEAN_poly_LDL_fft [14]
                0.03    0.84 12288000/70463848     PQCLEAN_FALCON512_CLEAN_poly_split_fft [13]
                0.06    1.89 27686046/70463848     PQCLEAN_FALCON512_CLEAN_FFT [10]
[9]     31.0    0.14    4.80 70463848         fpr_sub [9]
                3.84    0.96 70463848/148617408     PQCLEAN_FALCON512_CLEAN_fpr_add [7]
-----------------------------------------------
                0.00    0.00       2/9597        solve_NTRU_binary_depth0 [75]
                0.00    0.00       2/9597        PQCLEAN_FALCON512_CLEAN_keygen [24]
                0.00    0.00       5/9597        solve_NTRU_binary_depth1 [64]
                0.00    0.29     588/9597        solve_NTRU_intermediate [26]
                0.07    4.49    9000/9597        do_sign_dyn [6]
[10]    30.5    0.07    4.79    9597         PQCLEAN_FALCON512_CLEAN_FFT [10]
                0.06    1.89 27686046/70463848     fpr_sub [9]
                1.51    0.38 27686046/148617408     PQCLEAN_FALCON512_CLEAN_fpr_add [7]
                0.64    0.32 36914728/133996352     PQCLEAN_FALCON512_CLEAN_fpr_mul [11]
-----------------------------------------------
                0.00    0.00     512/133996352     PQCLEAN_FALCON512_CLEAN_poly_div_autoadj_fft [87]
                0.00    0.00    1024/133996352     PQCLEAN_FALCON512_CLEAN_poly_add_muladj_fft [84]
                0.00    0.00    2637/133996352     fpr_sqr [86]
                0.00    0.00    3882/133996352     solve_NTRU_intermediate [26]
                0.00    0.00    4254/133996352     PQCLEAN_FALCON512_CLEAN_poly_mul_autoadj_fft [83]
                0.00    0.00   92256/133996352     poly_big_to_fp [60]
                0.01    0.00  512000/133996352     ffSampling_fft_dyntree [8]
                0.02    0.01 1025024/133996352     PQCLEAN_FALCON512_CLEAN_poly_mulconst [53]
                0.04    0.02 2048000/133996352     PQCLEAN_FALCON512_CLEAN_poly_muladj_fft [43]
                0.05    0.02 2802103/133996352     fpr_sqr [45]
