Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.00    0.00 2048000/23817382     fpr_of [89]
                             2046000             ffSampling_fft_dyntree.constprop.0 [7]
-----------------------------------------------
                0.00    0.00    1024/329896815     poly_big_to_fp.constprop.0 [84]
                0.00    0.00    1536/329896815     PQCLEAN_FALCON1024_CLEAN_poly_add_muladj_fft [83]
                0.00    0.00    2048/329896815     poly_big_to_fp.constprop.1 [79]
                0.00    0.00    2048/329896815     PQCLEAN_FALCON1024_CLEAN_keygen [19]
                0.00    0.00    3069/329896815     PQCLEAN_FALCON1024_CLEAN_poly_invnorm2_fft [74]
                0.00    0.00   99664/329896815     poly_big_to_fp [59]
                0.02    0.00 2048000/329896815     PQCLEAN_FALCON1024_CLEAN_poly_muladj_fft [37]
                0.02    0.00 2048000/329896815     PQCLEAN_FALCON1024_CLEAN_poly_mulselfadj_fft [35]
                0.04    0.00 3501794/329896815     BerExp [23]
                0.09    0.01 9051588/329896815     PQCLEAN_FALCON1024_CLEAN_sampler [13]
                0.10    0.01 10241024/329896815     PQCLEAN_FALCON1024_CLEAN_poly_sub [28]
                0.16    0.02 15366470/329896815     PQCLEAN_FALCON1024_CLEAN_poly_add [25]
                0.17    0.02 16397964/329896815     PQCLEAN_FALCON1024_CLEAN_poly_mul_fft [17]
                0.28    0.03 27648000/329896815     PQCLEAN_FALCON1024_CLEAN_poly_merge_fft [15]
                0.28    0.03 27751050/329896815     PQCLEAN_FALCON1024_CLEAN_iFFT [14]
                0.36    0.04 35840000/329896815     PQCLEAN_FALCON1024_CLEAN_poly_LDL_fft [11]
                0.56    0.05 55296000/329896815     PQCLEAN_FALCON1024_CLEAN_poly_split_fft [12]
                1.26    0.12 124597536/329896815     PQCLEAN_FALCON1024_CLEAN_FFT [9]
[8]     53.9    3.34    0.33 329896815         PQCLEAN_FALCON1024_CLEAN_fpr_add [8]
                0.21    0.00 329896815/336900403     fpr_ursh [24]
                0.12    0.00 329896815/336900403     fpr_trunc [29]
-----------------------------------------------
                0.00    0.00       2/10121       solve_NTRU_binary_depth0 [61]
                0.00    0.00       2/10121       PQCLEAN_FALCON1024_CLEAN_keygen [19]
                0.00    0.00       5/10121       solve_NTRU_binary_depth1 [63]
                0.01    0.22    1112/10121       solve_NTRU_intermediate [21]
                0.04    1.74    9000/10121       do_sign_dyn.constprop.0 [6]
[9]     29.5    0.05    1.96   10121         PQCLEAN_FALCON1024_CLEAN_FFT [9]
                1.26    0.12 124597536/329896815     PQCLEAN_FALCON1024_CLEAN_fpr_add [8]
                0.42    0.00 83065024/293265995     PQCLEAN_FALCON1024_CLEAN_fpr_mul [10]
                0.13    0.00 207662560/653233071     FPR [16]
                0.02    0.00 62298768/157590811     fpr_sub [36]
-----------------------------------------------
                0.00    0.00    1024/293265995     PQCLEAN_FALCON1024_CLEAN_poly_div_autoadj_fft [82]
                0.00    0.00    2048/293265995     PQCLEAN_FALCON1024_CLEAN_poly_add_muladj_fft [83]
                0.00    0.00    2048/293265995     poly_big_to_fp.constprop.0 [84]
                0.00    0.00    2048/293265995     PQCLEAN_FALCON1024_CLEAN_keygen [19]
                0.00    0.00    4092/293265995     PQCLEAN_FALCON1024_CLEAN_poly_invnorm2_fft [74]
                0.00    0.00    4096/293265995     poly_big_to_fp.constprop.1 [79]
                0.00    0.00    9030/293265995     PQCLEAN_FALCON1024_CLEAN_poly_mul_autoadj_fft [81]
                0.00    0.00   10945/293265995     solve_NTRU_intermediate [21]
                0.00    0.00  199328/293265995     poly_big_to_fp [59]
                0.01    0.00 1024000/293265995     ffSampling_fft_dyntree.constprop.0 [7]
                0.01    0.00 2050048/293265995     PQCLEAN_FALCON1024_CLEAN_poly_mulconst [48]
                0.02    0.00 4096000/293265995     PQCLEAN_FALCON1024_CLEAN_poly_muladj_fft [37]
                0.02    0.00 4096000/293265995     PQCLEAN_FALCON1024_CLEAN_poly_mulselfadj_fft [35]
                0.04    0.00 7003588/293265995     PQCLEAN_FALCON1024_CLEAN_fpr_expm_p63 [26]
                0.04    0.00 7003588/293265995     BerExp [23]
                0.07    0.00 14601382/293265995     PQCLEAN_FALCON1024_CLEAN_sampler [13]
                0.09    0.00 18432000/293265995     PQCLEAN_FALCON1024_CLEAN_poly_merge_fft [15]
                0.10    0.00 20559778/293265995     PQCLEAN_FALCON1024_CLEAN_iFFT [14]
                0.17    0.00 32795928/293265995     PQCLEAN_FALCON1024_CLEAN_poly_mul_fft [17]
                0.19    0.00 36864000/293265995     PQCLEAN_FALCON1024_CLEAN_poly_split_fft [12]
                0.31    0.00 61440000/293265995     PQCLEAN_FALCON1024_CLEAN_poly_LDL_fft [11]
                0.42    0.00 83065024/293265995     PQCLEAN_FALCON1024_CLEAN_FFT [9]
[10]    21.9    1.49    0.00 293265995         PQCLEAN_FALCON1024_CLEAN_fpr_mul [10]
-----------------------------------------------
                0.05    1.11 1023000/1023000     ffSampling_fft_dyntree.constprop.0 [7]
[11]    17.0    0.05    1.11 1023000         PQCLEAN_FALCON1024_CLEAN_poly_LDL_fft [11]
                0.36    0.04 35840000/329896815     PQCLEAN_FALCON1024_CLEAN_fpr_add [8]
                0.31    0.00 61440000/293265995     PQCLEAN_FALCON1024_CLEAN_fpr_mul [10]
                0.31    0.00 5120000/5121535     PQCLEAN_FALCON1024_CLEAN_fpr_div [22]
                0.07    0.00 102400000/653233071     FPR [16]
                0.01    0.00 15360000/30725031     fpr_neg [44]
                0.01    0.00 10240000/14340092     fpr_sqr [50]
                0.01    0.00 20480000/157590811     fpr_sub [36]
                0.00    0.00 5120000/5121535     fpr_inv [94]
-----------------------------------------------
                0.06    0.90 4092000/4092000     ffSampling_fft_dyntree.constprop.0 [7]
[12]    14.0    0.06    0.90 4092000         PQCLEAN_FALCON1024_CLEAN_poly_split_fft [12]
                0.56    0.05 55296000/329896815     PQCLEAN_FALCON1024_CLEAN_fpr_add [8]
                0.19    0.00 36864000/293265995     PQCLEAN_FALCON1024_CLEAN_fpr_mul [10]
                0.06    0.00 92160000/653233071     FPR [16]
                0.02    0.00 36864000/36864000     fpr_half [43]
                0.01    0.00 27648000/157590811     fpr_sub [36]
                0.01    0.00 9216000/30725031     fpr_neg [44]
-----------------------------------------------
                0.02    0.57 2048000/2048000     ffSampling_fft_dyntree.constprop.0 [7]
[13]     8.7    0.02    0.57 2048000         PQCLEAN_FALCON1024_CLEAN_sampler [13]
                0.00    0.26 3501794/3501794     BerExp [23]
                0.09    0.01 9051588/329896815     PQCLEAN_FALCON1024_CLEAN_fpr_add [8]
                0.07    0.00 14601382/293265995     PQCLEAN_FALCON1024_CLEAN_fpr_mul [10]
                0.03    0.04 3501794/3501794     PQCLEAN_FALCON1024_CLEAN_gaussian0_sampler [32]
                0.04    0.00 9051588/23924726     PQCLEAN_FALCON1024_CLEAN_fpr_scaled [30]
                0.02    0.00 32704558/653233071     FPR [16]
                0.00    0.00 3501794/10519154     prng_get_u8 [51]
                0.00    0.00 9051588/23817382     fpr_of [89]
